x	y
-2.00	-12.42
-1.90	-11.72
-1.80	-11.03
-1.70	-10.33
-1.60	-9.63
-1.50	-8.93
-1.40	-8.23
-1.30	-7.53
-1.20	-6.84
-1.10	-6.15
-1.00	-5.46
-0.90	-4.78
-0.80	-4.10
-0.70	-3.44
-0.60	-2.77
-0.50	-2.12
-0.40	-1.48
-0.30	-0.84
-0.20	-0.22
-0.10	0.40
0.00	1.00
0.10	1.60
0.20	2.18
0.30	2.76
0.40	3.32
0.50	3.88
0.60	4.43
0.70	4.96
0.80	5.50
0.90	6.02
1.00	6.54
1.10	7.05
1.20	7.56
1.30	8.07
1.40	8.57
1.50	9.07
1.60	9.57
1.70	10.07
1.80	10.57
1.90	11.08
2.00	11.58
2.10	12.10
2.20	12.61
2.30	13.13
2.40	13.66
2.50	14.20
2.60	14.74
2.70	15.30
2.80	15.86
2.90	16.43
3.00	17.01
3.10	17.60
3.20	18.20
3.30	18.81
3.40	19.43
3.50	20.06
3.60	20.70
3.70	21.35
3.80	22.01
3.90	22.67
4.00	23.35
4.10	24.03
4.20	24.71
4.30	25.40
4.40	26.09
4.50	26.79
4.60	27.49
4.70	28.19
4.80	28.89
4.90	29.59
5.00	30.28
5.10	30.98
5.20	31.67
5.30	32.35
5.40	33.03
5.50	33.71
5.60	34.38
5.70	35.03
5.80	35.69
5.90	36.33
6.00	36.96
6.10	37.58
6.20	38.20
6.30	38.80
6.40	39.39
6.50	39.98
6.60	40.55
6.70	41.11
6.80	41.67
6.90	42.22
7.00	42.75
7.10	43.28
7.20	43.81
7.30	44.33
7.40	44.84
7.50	45.35
7.60	45.85
7.70	46.35
7.80	46.85
7.90	47.35
8.00	47.85
